rank,borrower_id,borrower_name,sector,region,loan_size_tzs_mn,env_management,pollution_control,climate_adaptation,renewable_energy,labour_practices,community_impact,gender_inclusion,board_oversight,transparency,compliance_record,E_score,S_score,G_score,esg_composite,sector_climate_risk,climate_performance,final_score,classification,green_loan_eligible
1,BRW-032,SME Owner 544,Personal Loans,Mwanza,67.5,6.42,6.2,7.33,5.55,5.57,6.98,5.34,6.9,2.45,5.4,6.51,5.99,4.89,5.87,2.27,7.73,6.71,Green Eligible,True
2,BRW-023,SME Owner 996,Personal Loans,Mwanza,151.6,5.58,4.49,6.39,6.05,6.21,7.44,6.14,6.3,4.14,5.63,5.62,6.62,5.34,5.84,2.27,7.73,6.69,Green Eligible,True
3,BRW-006,Individual Borrower 709,Personal Loans,Tanga,81.8,2.42,5.13,4.44,3.17,4.68,5.8,7.17,3.51,5.25,5.17,3.82,5.82,4.62,4.66,2.27,7.73,6.04,Standard,False
4,BRW-015,Retail Chain Co 429,Trade & Commerce,Morogoro,58.7,4.51,4.61,3.62,4.0,7.75,6.97,8.2,7.27,5.86,8.52,4.19,7.61,7.15,6.1,4.65,5.35,5.76,Green Eligible,True
5,BRW-010,Wholesale Dist 834,Trade & Commerce,Kilimanjaro,27.2,9.36,2.94,4.65,5.01,8.39,4.62,5.23,6.67,5.85,5.34,5.69,6.12,5.98,5.91,4.65,5.35,5.66,Green Eligible,True
6,BRW-021,Hydro Plant Co 801,Energy,Tabora,246.7,7.77,6.22,8.69,7.29,6.76,6.63,8.79,5.69,2.69,8.81,7.59,7.33,5.58,6.9,6.16,3.84,5.53,Green Eligible,True
7,BRW-003,Eco-Tourism Co 941,Tourism & Hotels,Kilimanjaro,200.0,6.67,5.02,4.36,3.58,6.76,9.17,6.54,5.62,5.93,8.16,5.1,7.54,6.49,6.25,5.42,4.58,5.5,Green Eligible,True
8,BRW-034,Wholesale Dist 718,Trade & Commerce,Mwanza,111.6,2.66,4.25,5.35,4.37,6.99,6.62,6.6,4.47,6.55,8.34,4.12,6.74,6.36,5.58,4.65,5.35,5.48,Green Eligible,True
9,BRW-002,Wholesale Dist 306,Trade & Commerce,Kilimanjaro,153.8,3.55,3.61,8.39,3.27,7.06,4.75,7.0,6.08,4.97,5.84,4.98,6.23,5.62,5.54,4.65,5.35,5.46,Green Eligible,True
10,BRW-056,Logistics Ltd 925,Transport,Mbeya,124.1,2.48,6.77,6.88,5.2,3.82,6.78,5.96,6.16,7.07,6.85,5.28,5.5,6.69,5.77,5.03,4.97,5.41,Green Eligible,True
11,BRW-031,Hydro Plant Co 662,Energy,Iringa,615.3,10.0,6.53,8.85,6.14,6.37,5.71,5.04,4.83,6.35,5.12,8.21,5.74,5.45,6.64,6.16,3.84,5.38,Green Eligible,True
12,BRW-011,Retail Chain Co 238,Trade & Commerce,Tanga,145.4,2.94,4.34,4.8,4.85,4.97,6.81,7.12,5.73,5.73,5.98,4.13,6.26,5.81,5.27,4.65,5.35,5.31,Standard,False
13,BRW-004,Solar Developer 794,Energy,Mbeya,80.0,5.88,7.86,7.34,8.3,5.77,3.96,3.25,8.48,8.29,6.13,7.18,4.38,7.71,6.5,6.16,3.84,5.3,Green Eligible,True
